"dept_no","dept_name","emp_no","last_name","first_name","from_date","to_date"
"d001","Marketing","111133","Zhang","Hauke","1991-03-07","9999-01-01"
"d002","Finance","111133","Zhang","Hauke","1991-03-07","9999-01-01"
"d003","Human Resources","111133","Zhang","Hauke","1991-03-07","9999-01-01"
"d004","Production","111133","Zhang","Hauke","1991-03-07","9999-01-01"
"d005","Development","111133","Zhang","Hauke","1991-03-07","9999-01-01"
"d006","Quality Management","111133","Zhang","Hauke","1991-03-07","9999-01-01"
"d007","Sales","111133","Zhang","Hauke","1991-03-07","9999-01-01"
"d008","Research","111133","Zhang","Hauke","1991-03-07","9999-01-01"
"d009","Customer Service","111133","Zhang","Hauke","1991-03-07","9999-01-01"
"d001","Marketing","111400","Staelin","Arie","1985-01-01","1991-04-08"
"d002","Finance","111400","Staelin","Arie","1985-01-01","1991-04-08"
"d003","Human Resources","111400","Staelin","Arie","1985-01-01","1991-04-08"
"d004","Production","111400","Staelin","Arie","1985-01-01","1991-04-08"
"d005","Development","111400","Staelin","Arie","1985-01-01","1991-04-08"
"d006","Quality Management","111400","Staelin","Arie","1985-01-01","1991-04-08"
"d007","Sales","111400","Staelin","Arie","1985-01-01","1991-04-08"
"d008","Research","111400","Staelin","Arie","1985-01-01","1991-04-08"
"d009","Customer Service","111400","Staelin","Arie","1985-01-01","1991-04-08"
"d001","Marketing","111534","Kambil","Hilary","1991-04-08","9999-01-01"
"d002","Finance","111534","Kambil","Hilary","1991-04-08","9999-01-01"
"d003","Human Resources","111534","Kambil","Hilary","1991-04-08","9999-01-01"
"d004","Production","111534","Kambil","Hilary","1991-04-08","9999-01-01"
"d005","Development","111534","Kambil","Hilary","1991-04-08","9999-01-01"
"d006","Quality Management","111534","Kambil","Hilary","1991-04-08","9999-01-01"
"d007","Sales","111534","Kambil","Hilary","1991-04-08","9999-01-01"
"d008","Research","111534","Kambil","Hilary","1991-04-08","9999-01-01"
"d009","Customer Service","111534","Kambil","Hilary","1991-04-08","9999-01-01"
"d001","Marketing","111692","Butterworth","Tonny","1985-01-01","1988-10-17"
"d002","Finance","111692","Butterworth","Tonny","1985-01-01","1988-10-17"
"d003","Human Resources","111692","Butterworth","Tonny","1985-01-01","1988-10-17"
"d004","Production","111692","Butterworth","Tonny","1985-01-01","1988-10-17"
"d005","Development","111692","Butterworth","Tonny","1985-01-01","1988-10-17"
"d006","Quality Management","111692","Butterworth","Tonny","1985-01-01","1988-10-17"
"d007","Sales","111692","Butterworth","Tonny","1985-01-01","1988-10-17"
"d008","Research","111692","Butterworth","Tonny","1985-01-01","1988-10-17"
"d009","Customer Service","111692","Butterworth","Tonny","1985-01-01","1988-10-17"
"d001","Marketing","111784","Giarratana","Marjo","1988-10-17","1992-09-08"
"d002","Finance","111784","Giarratana","Marjo","1988-10-17","1992-09-08"
"d003","Human Resources","111784","Giarratana","Marjo","1988-10-17","1992-09-08"
"d004","Production","111784","Giarratana","Marjo","1988-10-17","1992-09-08"
"d005","Development","111784","Giarratana","Marjo","1988-10-17","1992-09-08"
"d006","Quality Management","111784","Giarratana","Marjo","1988-10-17","1992-09-08"
"d007","Sales","111784","Giarratana","Marjo","1988-10-17","1992-09-08"
"d008","Research","111784","Giarratana","Marjo","1988-10-17","1992-09-08"
"d009","Customer Service","111784","Giarratana","Marjo","1988-10-17","1992-09-08"
"d001","Marketing","111877","Spinelli","Xiaobin","1992-09-08","1996-01-03"
"d002","Finance","111877","Spinelli","Xiaobin","1992-09-08","1996-01-03"
"d003","Human Resources","111877","Spinelli","Xiaobin","1992-09-08","1996-01-03"
"d004","Production","111877","Spinelli","Xiaobin","1992-09-08","1996-01-03"
"d005","Development","111877","Spinelli","Xiaobin","1992-09-08","1996-01-03"
"d006","Quality Management","111877","Spinelli","Xiaobin","1992-09-08","1996-01-03"
"d007","Sales","111877","Spinelli","Xiaobin","1992-09-08","1996-01-03"
"d008","Research","111877","Spinelli","Xiaobin","1992-09-08","1996-01-03"
"d009","Customer Service","111877","Spinelli","Xiaobin","1992-09-08","1996-01-03"
"d001","Marketing","111939","Weedman","Yuchang","1996-01-03","9999-01-01"
"d002","Finance","111939","Weedman","Yuchang","1996-01-03","9999-01-01"
"d003","Human Resources","111939","Weedman","Yuchang","1996-01-03","9999-01-01"
"d004","Production","111939","Weedman","Yuchang","1996-01-03","9999-01-01"
"d005","Development","111939","Weedman","Yuchang","1996-01-03","9999-01-01"
"d006","Quality Management","111939","Weedman","Yuchang","1996-01-03","9999-01-01"
"d007","Sales","111939","Weedman","Yuchang","1996-01-03","9999-01-01"
"d008","Research","111939","Weedman","Yuchang","1996-01-03","9999-01-01"
"d009","Customer Service","111939","Weedman","Yuchang","1996-01-03","9999-01-01"
